singular nouns,plural nouns,class,,,,,,,,,
nkhope,nkhope,i-zi,,,,,,,,,
mbuzi,mbuzi,i-zi,,,,,,,,,
m'bale,abale,mu-a,,,,,,,,,
dothi,madothi,li-ma,,,,,,,,,
tsamba,masamba,li-ma,,,,,,,,,
chovala,zovala,chi-zi,,,,,,,,,
mnyamata,anyamata,mu-a,,,,,,,,,
munda,minda,mu-mi,,,,,,,,,
chombo,zombo,chi-zi,,,,,,,,,
mngelo,angelo,mu-a,,,,,,,,,
dzina,maina,li-ma,,,,,,,,,
mtengo,mitengo,mu-mi,,,,,,,,,
gulu,magulu,li-ma,,,,,,,,,
lirime,malirime,li-ma,,,,,,,,,
fuko,mafuko,li-ma,,,,,,,,,
chikhomo,zikhomo,chi-zi,,,,,,,,,
mlendo,alendo,mu-a,,,,,,,,,
liwu,mawu,li-ma,,,,,,,,,
sukulu,sukulu,i-zi,,,,,,,,,
nkazi,akazi,mu-a,,,,,,,,,
mphaka,mphaka,mu-a,,,,,,,,,
boma,maboma,li-ma,,,,,,,,,
buku,mabuku,li-ma,,,,,,,,,
munthu,anthu,mu-a,,,,,,,,,
phiri,mapiri,li-ma,,,,,,,,,
dzuwa,dzuwa,li-ma,,,,,,,,,
njovu,njovu,i-zi,,,,,,,,,
msika,misika,mu-mi,,,,,,,,,
chimbuzi,zimbuzi,chi-zi,,,,,,,,,
mlamba,milamba,mu-mi,,,,,,,,,
chipinda,ziphinda,chi-zi,,,,,,,,,
chikondi,chikondi,chi-zi,,,,,,,,,
ngolo,ngolo,i-zi,,,,,,,,,
mchombo,michombo,mumi,,,,,,,,,
chikopa,zikopa,chi-zi,,,,,,,,,
chisomo,zisomo,chi-zi,,,,,,,,,
mwana,ana,mu-a,,,,,,,,,
mbusa,abusa,mu-a,,,,,,,,,
mtsikana,atsikana,mu-a,,,,,,,,,
bankha,abankha,mu-a,,,,,,,,,
kalulu,akalulu,mu-a,,,,,,,,,
mutu,mitu,mu-mi,,,,,,,,,
mudzi,midzi,mu-mi,,,,,,,,,
mwambi,miyambi,mu-mi,,,,,,,,,
mwezi,miyezi,mu-mi,,,,,,,,,
mzere,mizere,mu-mi,,,,,,,,,
mwazi,mwazi,mu-mi,,,,,,,,,
mkaka,mkaka,mu-mi,,,,,,,,,
mtedza,mtedza,mu-mi,,,,,,,,,
mphweya,mphweya,mu-mi,,,,,,,,,
mchere,mchere,mu-mi,,,,,,,,,
mpunga,mphunga,mu-mi,,,,,,,,,
lamulo,malamulo,li-ma,,,,,,,,,
lalanje,malalanje,li-ma,,,,,,,,,
lembo,malembo,li-ma,,,,,,,,,
bere,mabere,li-ma,,,,,,,,,
fano,mafano,li-ma,,,,,,,,,
dzira,mazira,li-ma,,,,,,,,,
gawo,magawo,li-ma,,,,,,,,,
khutu,makutu,li-ma,,,,,,,,,
tchimo,machimo,li-ma,,,,,,,,,
madzi,madzi,li-ma,,,,,,,,,
manda,manda,ku-pa-mu,,,,,,,,,
mantha,mantha,li-ma,,,,,,,,,
chala,zala,chi-zi,,,,,,,,,
cheke,zeke,chi-zi,,,,,,,,,
chibaluwa,zibaluwa,chi-zi,,,,,,,,,
chibakera,zibakera,chi-zi,,,,,,,,,
chimanga,zimanga,chi-zi,,,,,,,,,
chichewa,chichewa,chi-zi,,,,,,,,,
chilungamo,chilungamo,chi-zi,,,,,,,,,
mpanda,mipanda,mu-mi,,,,,,,,,
nandolo,nandolo,i-zi,,,,,,,,,
msonkhano,misonkhano,mu-mi,,,,,,,,,
bungwe,mabungwe,li-ma,,,,,,,,,
nthenda,matenda,mu-mi,,,,,,,,,
mlembi,alembi,mu-a,,,,,,,,,
wapamphando,apampando,mu-a,,,,,,,,,
membala,mamembala,mu-a,,,,,,,,,
lamulo,malamulo,li-ma,,,,,,,,,
chule,achule,mu-a,,,,,,,,,
chaka,zaka,chi-zi,,,,,,,,,
mzinda,mizinda,mu-mi,,,,,,,,,
nthochi,nthochi,li-ma,,,,,,,,,
nsapato,nsapato,i-zi,,,,,,,,,
malaya,malaya,li-ma,,,,,,,,,
bulangete,mabulangete,li-ma,,,,,,,,,
dimba,madimba,li-ma,,,,,,,,,
mphasa,mphasa,i-zi,,,,,,,,,
mlimi,alimi,mu-a,,,,,,,,,
uta,mauta,u-ma,,,,,,,,,
ufa,ufa,u-ma,,,,,,,,,
tsache,matsache,li-ma,,,,,,,,,
chitsanzo,zitsanzo,li-ma,,,,,,,,,
khama,makhama,li-ma,,,,,,,,,
khasu,makasu,li-ma,,,,,,,,,
bolodi,mabolodi,li-ma,,,,,,,,,
zenera,mazenera,li-ma,,,,,,,,,
mnasi,anasi,mu-a,,,,,,,,,
mphulumitsi,apulumutsi,mu-a,,,,,,,,,
kabichi,kabichi,mu-a,,,,,,,,,
chomera,zomera,chi-zi,,,,,,,,,
chipatala,zipatala,chi-zi,,,,,,,,,
chitetezo,chitetezo,chi-zi,,,,,,,,,
ndenge,ndenge,i-zi,,,,,,,,,
chikhalidwe,zikhalidwe,chi-zi,,,,,,,,,
msomali,misomali,mu-mi,,,,,,,,,
ulaliki,maulaliki,li-ma,,,,,,,,,
mfuti,mfuti,li-ma,,,,,,,,,
chipatala,zipatala,chi-zi,,,,,,,,,
mtsinje,mitsinje,mu-mi,,,,,,,,,
phunziro,maphuziro,li-ma,,,,,,,,,
saka,masaka,li-ma,,,,,,,,,
ngodya,ngodya,i-zi,,,,,,,,,
m'nyumba,m'nyumba,ku-pa-mu,,,,,,,,,
kumunda ,kumunda,ku-pa-mu,,,,,,,,,
patchire,patchire,ku-pa-mu,,,,,,,,,
m'mudzi,m'mudzi,ku-pa-mu,,,,,,,,,
kamwana,tiana,ka-ti,,,,,,,,,
kanthu,tinthu,ka-ti,,,,,,,,,
kadiso,timaso,ka-ti,,,,,,,,,
tsiku,masiku,li-ma,,,,,,,,,
fupa,mafupa,li-ma,,,,,,,,,
bala,mabala,li-ma,,,,,,,,,
diso,maso,li-ma,,,,,,,,,
chambo,zambo,chi-zi,,,,,,,,,
chulu,zulu,chi-zi,,,,,,,,,
chikho,zikho,chi-zi,,,,,,,,,
chodyera,zodyera,chi-zi,,,,,,,,,
chibwana,zibwana,chi-zi,,,,,,,,,
ndolo,ndolo,i-zi,,,,,,,,,
mphwemphwa,mphwemphwa,i-zi,,,,,,,,,
mfumu,mfumu,i-zi,,,,,,,,,
mimba,mimba,i-zi,,,,,,,,,
inswa,inswa,i-zi,,,,,,,,,
udindo,maudindo,u-ma,,,,,,,,,
udzudzu,udzudzu,u-ma,,,,,,,,,
kusaka,kusaka,ku+tsinde la mneni,,,,,,,,,
kulemba,kulemba,ku+tsinde la mneni,,,,,,,,,
kugona,kugona,ku+tsinde la mneni,,,,,,,,,
mzamba,azamba,mu-a,,,,,,,,,
fisi,afisi,mu-a,,,,,,,,,
mwamuna,amuna,mu-a,,,,,,,,,
mkeka,mikeka,mu-mi,,,,,,,,,
muzu,mizu,mu-mi,,,,,,,,,
mwambi,miyambi,mu-mi,,,,,,,,,
mulungu,milungu,mu-mi,,,,,,,,,
uve,uve,u-ma,,,,,,,,,
bongo,bongo,u-ma,,,,,,,,,
mulatho,milatho,mu-mi,,,,,,,,,
msewu,misewu,mu-mi,,,,,,,,,
nkhuku,nkhuku,i-zi,,,,,,,,,
ukhondo,ukhondo,u-ma,,,,,,,,,
nkhondo,nkhondo,i-zi,,,,,,,,,
nkhokwe,nkhokwe,i-zi,,,,,,,,,
anyezi,anyezi,mu-a,,,,,,,,,
udzu,mauzu,u-ma,,,,,,,,,
ululu,ululu,u-ma,,,,,,,,,
tomato,tomato,mu-a,,,,,,,,,
chithunzi,zithunzi,chi-zi,,,,,,,,,
kupita,kupita,ku+tsinde la mneni,,,,,,,,,
kubwera,kubwera,ku+tsinde la mneni,,,,,,,,,
kulima,kulima,ku+tsinde la mneni,,,,,,,,,
kuthawa,kuthawa,ku+tsinde la mneni,,,,,,,,,
kulimbikira,kulimbikila,ku+tsinde la mneni,,,,,,,,,
kuphika,kuphika,ku+tsinde la mneni,,,,,,,,,
kachala,zizala,ka-ti,,,,,,,,,
mpando,mipando,mu-mi,,,,,,,,,
thabwa,matabwa,li-ma,,,,,,,,,
chikwama,zikwama,chi-zi,,,,,,,,,
galimoto,galimoto,i-zi,,,,,,,,,
phazi,mapazi,li-ma,,,,,,,,,
mlomo,milomo,mu-mi,,,,,,,,,
mphuno,mphuno,i-zi,,,,,,,,,
thako,matako,li-ma,,,,,,,,,
botolo,mabotolo,li-ma,,,,,,,,,
tebulo,tebulo,li-ma,,,,,,,,,
denga,denga,li-ma,,,,,,,,,
nyale,nyale,i-zi,,,,,,,,,
chitseko,ziseko,chi-zi,,,,,,,,,
chipande,zipande,chi-zi,,,,,,,,,
mbiya,mbiya,i-zi,,,,,,,,,
nyemba,nyemba,i-zi,,,,,,,,,
danzi,danzi,li-ma,,,,,,,,,
chipumi,zipumi,chi-zi,,,,,,,,,
nzeru,nzeru,i-zi,,,,,,,,,
mphamvu,mphavu,i--zi,,,,,,,,,
bondo,mawondo,li-ma,,,,,,,,,
mbalame,mbalame,i-zi,,,,,,,,,
galu,agalu,mu-a,,,,,,,,,
nsomba,nsomba,chi-zi,,,,,,,,,
mpeni,mipeni,mu-mi,,,,,,,,,
mchenga,michenga,mu-mi,,,,,,,,,
mbewu,mbewu,i-zi,,,,,,,,,
khoswe,makoswe,u-ma,,,,,,,,,
mbewa,mbewa,i-zi,,,,,,,,,
nyimbo,nyimbo,i-zi,,,,,,,,,
duwa,maluwa,li-ma,,,,,,,,,
kalata,kalata,i-zi,,,,,,,,,
uthenga,mauthenga,u-ma,,,,,,,,,
dziko,maiko,li-ma,,,,,,,,,
mzimbe,mizimbe,i-zi,,,,,,,,,
nsalu,nsalu,i-zi,,,,,,,,,
tsitsi,tsitsi,i-zi,,,,,,,,,
khosi,makosi,li-ma,,,,,,,,,
chikhadabo,zikhadabo,chi-zi,,,,,,,,,
mphepo,mphepo,i-zi,,,,,,,,,
nsabwe,nsabwe,i-zi,,,,,,,,,
dzungu,maungu,li-ma,,,,,,,,,
nkhwangwa,nkhwangwa,i-zi,,,,,,,,,
nkhanu,nkhanu,i-zi,,,,,,,,,
nkhanga,nkhanga,i-zi,,,,,,,,,
nkhosa,nkhosa,i-zi,,,,,,,,,
khwangwala,akhwangwala,mu-a,,,,,,,,,
nyerere,nyerere,i-zi,,,,,,,,,
mwendo,mwendo,mu-mi,,,,,,,,,
mkono,mikono,mu-mi,,,,,,,,,
dzenje,mayenje,li-ma,,,,,,,,,
malata,malata,li-ma,,,,,,,,,
chimera,zimera,chi-zi,,,,,,,,,
mlatho,milatho,mu-mi,,,,,,,,,
mlandu,milandu,mu-mi,,,,,,,,,
ulalo,maulalo,u-ma,,,,,,,,,
mlonda,mlonda,mu-a,,,,,,,,,
chiletso,zileso,chi-zi,,,,,,,,,
imfa,imfa,i-zi,,,,,,,,,
chilema,zilema,chi-zi,,,,,,,,,
njinga,njinga,i-zi,,,,,,,,,
khoma,khoma,li-ma,,,,,,,,,
nkhalango,nkhalango,i-zi,,,,,,,,,
mpingo,mipingo,mu-mi,,,,,,,,,
mphatso,mphatso,i-zi,,,,,,,,,
mkhango,mikango,mu-mi,,,,,,,,,
kambuku,akambuku,mu-a,,,,,,,,,
nyani,anyani,mu-a,,,,,,,,,
gwape,agwape,mu-a,,,,,,,,,
chitsoti,zitsoti,chi-zi,,,,,,,,,
mkondo,mikondo,mu-mi,,,,,,,,,
mlenje,alenji,mu-a,,,,,,,,,
phanga,mapanga,li-ma,,,,,,,,,
chisa,zisa,chi-zi,,,,,,,,,
chiputu,ziputu,chi-zi,,,,,,,,,
chitosi,zitosi,chi-zi,,,,,,,,,
mphunzitsi,aphunzitsi,mu-a,,,,,,,,,
bulu,abulu,mu-a,,,,,,,,,
mtolo,mitolo,mu-mi,,,,,,,,,
mtsuko,mitsuko,mu-mi,,,,,,,,,
mulu,milu,mu-mi,,,,,,,,,
mphika,miphika,mu-mi,,,,,,,,,
mwala,miyala,mu-mi,,,,,,,,,
nakubala,anakubala,mu-a,,,,,,,,,
nankafubwe,anakafumbwe,mu-a,,,,,,,,,
njuchi,njuchi,i-zi,,,,,,,,,
kuimba,kuimba,ku+tsinde la mneni,,,,,,,,,
pamsika,pamsika,ku-pa-mu,,,,,,,,,
uchi,uchi,,,,,,,,,,
nkhonde,makonde,mu-a,,,,,,,,,
banja,mabanja,li-ma,,,,,,,,,
bwenzi,abwenzi,li-ma,,,,,,,,,
chifukwa,zifukwa,chi-zi,,,,,,,,,
chikwanje,zikwanje,chi-zi,,,,,,,,,
gule,magule,u-ma,,,,,,,,,
bwalo,mabwalo,lima,,,,,,,,,
chinangwa,chinangwa,chi-zi,,,,,,,,,
chingwe,zingwe,chi-zi,,,,,,,,,
chinthu,zinthu,chi-zi,,,,,,,,,
chipatso,zipatso,chi-zi,,,,,,,,,
chipewa,zipewa,chi-zi,,,,,,,,,
chitsime,zitsime,chi-zi,,,,,,,,,
cholinga,zolinga,chi-zi,,,,,,,,,
chuma,chuma,chi-zi,,,,,,,,,
dambo,madambo,chi-zi,,,,,,,,,
dengu,madengu,li-ma,,,,,,,,,
dzana,dzana,li-ma,,,,,,,,,
dzanja,manja,li-ma,,,,,,,,,
katundu,katundu,mu-a,,,,,,,,,
khomo,makomo,li-ma,,,,,,,,,
lero,lero,li-ma,,,,,,,,,
mafuta,mafuta,li-ma,,,,,,,,,
malo,malo,li-ma,,,,,,,,,
malonda,malonda,li-ma,,,,,,,,,
mankhwala,mankhwala,li-ma,,,,,,,,,
mbatata,mbatata,i-zi,,,,,,,,,
mbeu,mbeu,i-zi,,,,,,,,,
mdima,midima,mu-mi,,,,,,,,,
mnzanga,azanga,mu-a,,,,,,,,,
moto,moto,mu-mi,,,,,,,,,
moyo,miyoyo,mu-mi,,,,,,,,,
mphwanga,aphwanga,mu-a,,,,,,,,,
mtima,mitima,mu-mi,,,,,,,,,
mzimu,mizimu,mu-mi,,,,,,,,,
mvula,mvula,i-zi,,,,,,,,,
ndalama,ndalama,i-zi,,,,,,,,,
ndiwo,ndiwo,i-zi,,,,,,,,,
dondo,dondo,i-zi,,,,,,,,,
ng'ombe,ng'ombe,i-zi,,,,,,,,,
njala,njala,i-zi,,,,,,,,,
njira,njira,i-zi,,,,,,,,,
nkhani,nkhani,i-zi,,,,,,,,,
nkhuni,nkhuni,i-zi,,,,,,,,,
nsima,nsima,i-zi,,,,,,,,,
nsungwi,nsungwi,i-zi,,,,,,,,,
ntchito,ntchito,i-zi,,,,,,,,,
nthawi,nthawi,i-zi,,,,,,,,,
nyama,nyama,i-zi,,,,,,,,,
nyumba,nyumba,i-zi,,,,,,,,,
tchire,tchire,li-ma,,,,,,,,,
thumba,matumba,li-ma,,,,,,,,,
njerwa,njerwa,i-zi,,,,,,,,,
tambala,tambala,mu-a,,,,,,,,,
fulu,afulu,mu-a,,,,,,,,,
lezara,malezara,li-ma,,,,,,,,,
nyanja,nyanja,i-zi,,,,,,,,,
mpini,mipini,mu-mi,,,,,,,,,
chiweto,ziweto,chi-zi,,,,,,,,,
nkhumba,nkhumba,i-zi,,,,,,,,,
nkhunda,nkhunda,i-zi,,,,,,,,,
nkhono,nkhono,i-zi,,,,,,,,,
mbira,mbira,i-zi,,,,,,,,,
mtambo,mitambo,i-zi,,,,,,,,,
khala,makala,li-ma,,,,,,,,,
mtere,mitera,mu-mi,,,,,,,,,
adyo,adyo,mu-a,,,,,,,,,
bango,mango,li-ma,,,,,,,,,
atate,atate,mu-a,,,,,,,,,
ambulansi,maambulansi,i-zi,,,,,,,,,
baibulo,mabaibulo,li-ma,,,,,,,,,
bafa,mabafa,li-ma,,,,,,,,,
ambulera,ambulera,i-zi,,,,,,,,,
impso,impso,u-ma,,,,,,,,,
imvi,imvi,u-ma,,,,,,,,,
insa,insa,u-ma,,,,,,,,,
jekete,majekete,li-ma,,,,,,,,,
kama,makama,li-ma,,,,,,,,,
bata,bata,li-ma,,,,,,,,,
bodza,maboza,li-ma,,,,,,,,,
bowa,bowa,u-,,,,,,,,,
chiphe,ziphe,chi-zi,,,,,,,,,
chiphadzuwa,ziphadzuwa,chi-zi,,,,,,,,,
chipululu,zipululu,chi-zi,,,,,,,,,
chitokosi,zitokosi,chi-zi,,,,,,,,,
chiuno,ziuno,chi-zi,,,,,,,,,
chitsiru,zitsiru,,,,,,,,,,
chiwanda,ziwanda,chi-zi,,,,,,,,,
chiwala,ziwala,chi-zi,,,,,,,,,
chiwindi,ziwindi,chi-zi,,,,,,,,,
cholemebera,zolembera,chi-zi,,,,,,,,,
dotolo,madotolo,mu-a,,,,,,,,,
edzi,edzi,i-zi,,,,,,,,,
fodya,fodya,mu-mi,,,,,,,,,
fosholo,mafosholo,li-ma,,,,,,,,,
fumbi,fumbi,li-ma,,,,,,,,,
funso,mafuso,li-ma,,,,,,,,,
ganizo,maganizo,li-ma,,,,,,,,,
gitala,magitala,li-ma,,,,,,,,,
gogo,agogo,mu-a,,,,,,,,,
golide,golide,u-ma,,,,,,,,,
kachipinda,tizipinda,ka-ti,,,,,,,,,
kambuzi,timbuzi,ka-ti,,,,,,,,,
kachipatso,tizipatso,ka-ti,,,,,,,,,
kamulu,timulu,ka-ti,,,,,,,,,
kachitsiru,tizitsiru,ka-ti,,,,,,,,,
kadzidzi,akadzidzi,mu-a,,,,,,,,,
kakowa,akakowa,mu-a,,,,,,,,,
kakambuku,tiakambuku,ka-ti,,,,,,,,,
kakadzidzi,tiakadzidzi,ka-ti,,,,,,,,,
kapinga,tikapinga,ka-ti,,,,,,,,,
kanyenyezi,tinyenyezi,ka-ti,,,,,,,,,
kafiti,tiafiti,ka-ti,,,,,,,,,
kakhasu,timakasu,ka-ti,,,,,,,,,
khola,makola,li-ma,,,,,,,,,
kachitseko,tizitseko,ka-ti,,,,,,,,,
kalilime,tililime,ka-ti,,,,,,,,,
khungu,khungu,li-ma,,,,,,,,,
kamalo,timalo,ka-ti,,,,,,,,,
malovu,malovu,li-ma,,,,,,,,,
magetsi,magetsi,li-ma,,,,,,,,,
malume,malume,mu-a,,,,,,,,,
maliro,maliro,li-ma,,,,,,,,,
magazi,magazi,li-ma,,,,,,,,,
malungo,malungo,li-ma,,,,,,,,,
mbama,mambama,li-ma,,,,,,,,,
khofi,makofi,li-ma,,,,,,,,,
kakhofi,timakofi,ka-ti,,,,,,,,,
kabango,timango,ka-ti,,,,,,,,,
mapira,mapira,li-ma,,,,,,,,,
mawere,maware,li-ma,,,,,,,,,
mbala,mbala,i-zi,,,,,,,,,
mbina,mbina,i-zi,,,,,,,,,
mbululu,mbululu,i-zi,,,,,,,,,
mbumba,mbumba,i-zi,,,,,,,,,
mchewa,achewa,mu-a,,,,,,,,,
khoti,makoti,li-ma,,,,,,,,,
loto,maloto,li-ma,,,,,,,,,
mdzukulu,adzukulu,mu-a,,,,,,,,,
mbonzi,mbonzi,i-zi,,,,,,,,,
mfiti,afiti,mu-a,,,,,,,,,
mfotokozi,afotokozi,mu-a,,,,,,,,,
mneni,aneni,mu-a,,,,,,,,,
mfuuliro,mifuuliro,mu-mi,,,,,,,,,
mgodi,migodi,mu-mi,,,,,,,,,
kachenjede,kachenjede,i-zi,,,,,,,,,
kamkango,timikango,ka-ti,,,,,,,,,
mkute,mikute,mu-mi,,,,,,,,,
malambe,malambe,li-ma,,,,,,,,,
mphitikizi,aphwitikizi,mu-a,,,,,,,,,
mmalawi,amalawi,mu-a,,,,,,,,,
mmwenye,amwenye,mu-a,,,,,,,,,
mngoni,angoni,mu-a,,,,,,,,,
mtumbuka,atumbuka,mu-a,,,,,,,,,
bwana,abwana,mu-a,,,,,,,,,
mdya,adya,mu-a,,,,,,,,,
godwa,agondwa,mu-a,,,,,,,,,
kadyamsonga,akadyansonga,mu-a,,,,,,,,,
kadzimbuka,akadzimbuka,mu-a,,,,,,,,,
kadziwayekha,akadziwayekha,mu-a,,,,,,,,,
kalaliki,akalaliki,mu-a,,,,,,,,,
kanungu,akanungu,mu-a,,,,,,,,,
katekisima,akatekisima,mu-a,,,,,,,,,
komema,akomema,mu-a,,,,,,,,,
kavalo,akavalo,mu-a,,,,,,,,,
mkazi,akazi,mu-a,,,,,,,,,
mkhalayekha,akhalayekha,mu-a,,,,,,,,,
wakuba,akuba,mu-a,,,,,,,,,
mlamu,alamu,mu-a,,,,,,,,,
mlowam'malo,alowam'malo,mu-a,,,,,,,,,
mlowoka,alowoka,mu-a,,,,,,,,,
mlozola,alozola,mu-a,,,,,,,,,
mlumbwana,alumbwana,mu-a,,,,,,,,,
mayi,amayi,mu-a,,,,,,,,,
nakwiaka,anakakwiaka,mu-a,,,,,,,,,
mnyanja,anyanja,mu-a,,,,,,,,,
shehe,ashehe,mu-a,,,,,,,,,
msilikali,atsilikali,mu-a,,,,,,,,,
mphelanjiru,aphelanjiru,mu-a,,,,,,,,,
sing'anga,asing'anga,mu-a,,,,,,,,,
msungwana,asungwana,mu-a,,,,,,,,,
tate,atate,mu-a,,,,,,,,,
muwerengi,awerengi,mu-a,,,,,,,,,
mzibambo,abambo,mu-a,,,,,,,,,
mzungu,azungu,mu-a,,,,,,,,,
banki,mabanki,mu-a,,,,,,,,,
mavu,mavu,mu-a,,,,,,,,,
bvuto,mavuto,li-ma,,,,,,,,,
bwato,bwato,i-zi,,,,,,,,,
chingwa,chingwa,i-zi,,,,,,,,,
phulusa,phulusa,i-zi,,,,,,,,,
chipere,zipere,chi-zi,,,,,,,,,
chinkhwe,zinkhwe,chi-zi,,,,,,,,,
chipukupuku,zipukupuku,chi-zi,,,,,,,,,
chiphuphu,ziphuphu,chi-zi,,,,,,,,,
chisalisali,zisalisali,chi-zi,,,,,,,,,
chishango,zishango,chi-zi,,,,,,,,,
chitsamunda,zitsamunda,chi-zi,,,,,,,,,
chiwengo,ziwengo,chi-zi,,,,,,,,,
chiyimbiro,ziyimbiro,chi-zi,,,,,,,,,
chiyoto,ziyoto,chi-zi,,,,,,,,,
dembo,zidembo,chi-zi,,,,,,,,,
zamba,zamba,mu-a,,,,,,,,,
chimwana,ziana,chi-zi,,,,,,,,,
chidindo,zidindo,chi-zi,,,,,,,,,
chidude,zidude,chi-zi,,,,,,,,,
chifuwa,zifuwa,chi-zi,,,,,,,,,
chikoto,zikoto,chi-zi,,,,,,,,,
chithaphwi,zithaphwi,chi-zi,,,,,,,,,
chikwi,zikwi,chi-zi,,,,,,,,,
chilala,zilala,chi-zi,,,,,,,,,
chinziri,zinziri,chi-zi,,,,,,,,,
chitondwe,zitondwe,chi-zi,,,,,,,,,
chowuka,zowuka,chi-zi,,,,,,,,,
utsi,utsi,,,,,,,,,,
uvuni,mauvuni,u-ma,,,,,,,,,
wailesi,mawailesi,li-ma,,,,,,,,,
mkungu,wakungu,mu-a,,,,,,,,,
yankho,mayankho,li-ma,,,,,,,,,
ubatizo,maubatizo,u-ma,,,,,,,,,
ulendo,maulendo,u-ma,,,,,,,,,
ulesi,maulesi,u-ma,,,,,,,,,
ufiti,maufiti,u-ma,,,,,,,,,
umunthu,umunthu,u-ma,,,,,,,,,
unduna,maunduna,u-ma,,,,,,,,,
uphunzitsi,uphunzitsi,u-ma,,,,,,,,,
usana,mausana,u-ma,,,,,,,,,
usipa,usipa,u-ma,,,,,,,,,
utawalezi,utawalezi,u-ma,,,,,,,,,
utitiri,utitiri,u-ma,,,,,,,,,
kamngelo,tiangelo,ka-ti,,,,,,,,,
kamudzi,timidzi,ka-ti,,,,,,,,,
kanungu,tinungu,ka-ti,,,,,,,,,
tsoka,matsoka,li-ma,,,,,,,,,
kufumbi,pafumbi/mufumbi,ku-pa-mu,,,,,,,,,
phapo,mapapo,li-ma,,,,,,,,,
phasa,mapasa,li-ma,,,,,,,,,
kufupa,pafumba/m'fupa,ku-pa-mu,,,,,,,,,
phiko,maphiko,li-ma,,,,,,,,,
phwetekere,phwetekere,mu-a,,,,,,,,,
poto,mapoto,li-ma,,,,,,,,,
sabata,masabata,li-ma,,,,,,,,,
sitolo,masitolo,li-ma,,,,,,,,,
singano,masingano,li-ma,,,,,,,,,
nyalubwe,anyalubwe,mu-a,,,,,,,,,
nyanga,nyanga,i-zi,,,,,,,,,
nyengo,nyengo,i-zi,,,,,,,,,
nyenyezi,nyenyezi,i-zi,,,,,,,,,
nyota,nyota,i-zi,,,,,,,,,
woimba,oimba,mu-a,,,,,,,,,
nzika,nzika,mu-a,,,,,,,,,
nkhwazi,nkhwazi,i-zi,,,,,,,,,
nsanje,nsanje,i-zi,,,,,,,,,
nsanza,nsanza,i-zi,,,,,,,,,
nsawawa,nsawawa,i-zi,,,,,,,,,
nsenjere,nsenjere,i-zi,,,,,,,,,
nsidze,nsidze,i-zi,,,,,,,,,
ntchentche,ntchentche,i-zi,,,,,,,,,
nthenga,nthenga,i-zi,,,,,,,,,
nthumbi,nthumbi,i-zi,,,,,,,,,
nthano,nthano,i-zi,,,,,,,,,
nthanda,nthanda,i-zi,,,,,,,,,
nswala,nswala,i-zi,,,,,,,,,
nguluwe,nguluwe,i-zi,,,,,,,,,
ngwazi,ngwazi,i-zi,,,,,,,,,
njati,njati,i-zi,,,,,,,,,
