singular nouns,plural nouns,class,,,,,,,,,
njadi,njadi,i-zi,,,,,,,,,
njiru,njiru,i-zi,,,,,,,,,
njiwa,njiwa,i-zi,,,,,,,,,
njoka,njoka,i-zi,,,,,,,,,
njuma,njuma,i-zi,,,,,,,,,
nkhandwe,nkhandwe,i-zi,,,,,,,,,
mzimizi,mizimizi,i-zi,,,,,,,,,
mzime,mizime,i-zi,,,,,,,,,
mzukwa,mizukwa,mu-mi,,,,,,,,,
nakalupsa,anakalupsa,mu-a,,,,,,,,,
namwali,anamwali,mu-a,,,,,,,,,
ndege,ndege,i-zi,,,,,,,,,
ndevu,ndevu,i-zi,,,,,,,,,
ndere,ndere,i-zi,,,,,,,,,
ndimu,ndimu,i-zi,,,,,,,,,
ndondocha,ndondocha,i-zi,,,,,,,,,
ndowa,ndowa,i-zi,,,,,,,,,
ndulu,ndulu,i-zi,,,,,,,,,
ngalawa,ngalawa,i-zi,,,,,,,,,
ng'anjo,ng'anjo,i-zi,,,,,,,,,
ng'oma,ng'oma,i-zi,,,,,,,,,
ng'ona,ng'ona,i-zi,,,,,,,,,
ngamira,ngamira,i-zi,,,,,,,,,
ngola,ngola,i-zi,,,,,,,,,
mvunguti,mivunguti,mu-mi,,,,,,,,,
mvuu,mvuu,i-zi,,,,,,,,,
mwaye,miyawe,mu-mi,,,,,,,,,
mwayi,mwayi,mu-a,,,,,,,,,
mweruzi,aweruzi,mu-a,,,,,,,,,
mzati,mizati,mu-mi,,,,,,,,,
mzikiti,mizikiti,mu-mi,,,,,,,,,
mpira,mipira,mu-mi,,,,,,,,,
mpita,mipita,mu-mi,,,,,,,,,
mpito,mipito,mu-mi,,,,,,,,,
msesere,misesere,mu-mi,,,,,,,,,
mthunzi,mthunzi,mu-mi,,,,,,,,,
mtsempha,misempha,mu-mi,,,,,,,,,
mowa,mowa,,,,,,,,,,
mpesa,mipesa,mu-mi,,,,,,,,,
mphenzi,mphenzi,mu-a,,,,,,,,,
mphemvu,mphemvu,i-zi,,,,,,,,,
mphere,mphere,i-zi,,,,,,,,,
mphindi,mphizi,i-zi,,,,,,,,,
mphoyo,mphoyo,i-zi,,,,,,,,,
mphumi,mphumi,i-zi,,,,,,,,,
mleme,mileme,mu-mi,,,,,,,,,
mvukwe,mivukwe,mu-mi,,,,,,,,,
mkodzo,mikodzi,mu-mi,,,,,,,,,
mchira,michira,mu-mi,,,,,,,,,
mchodzi,michozi,mu-mi,,,,,,,,,
mhawu,mihawu,mu-mi,,,,,,,,,
msirima,misirima,mu-mi,,,,,,,,,
msumwa,misumwa,mu-mi,,,,,,,,,
mbidzi,mdidzi,i-zi,,,,,,,,,
mbinji,mbinji,i-zi,,,,,,,,,
bavu,mavu,li-ma,,,,,,,,,
dzaye,maye,li-ma,,,,,,,,,
ola,maola,li-ma,,,,,,,,,
tsamvu,matsavu,li-ma,,,,,,,,,
tawuni,matawuni,li-ma,,,,,,,,,
ula,maula,li-ma,,,,,,,,,
dziwe,maiwe,li-ma,,,,,,,,,
kwacha,makwacha,li-ma,,,,,,,,,
lawi,malawi,li-ma,,,,,,,,,
lipiro,malipiro,li-ma,,,,,,,,,
hema,mahema,li-ma,,,,,,,,,
kuotcha,kuotcha,ku+tsinde la mneni,,,,,,,,,
kunyekhula,kunyekhula,ku+tsinde la mneni,,,,,,,,,
kupha,kupha,ku+tsinde la mneni,,,,,,,,,
kusaba,kusaba,ku+tsinde la mneni,,,,,,,,,
kusadya,kusadya,ku+tsinde la mneni,,,,,,,,,
kusaphunzira,kusaphunzira,ku+tsinde la mneni,,,,,,,,,
kusamwetsa,kusamwetsa,ku+tsinde la mneni,,,,,,,,,
kuseka,kuseka,ku+tsinde la mneni,,,,,,,,,
kuwerenga,kuwerenga,ku+tsinde la mneni,,,,,,,,,
kuzerezeka,kuzerezeka,ku+tsinde la mneni,,,,,,,,,
kuthandiza,kuthandiza,ku+tsinde la mneni,,,,,,,,,
kusanthandiza,kusathandiza,ku+tsinde la mneni,,,,,,,,,
kuyetsemula,kuyetsemula,ku+tsinde la mneni,,,,,,,,,
kumwa,kumwa,ku+tsinde la mneni,,,,,,,,,
kabwawi,tibawi,ka-ti,,,,,,,,,
kachipanipani,tizipanipani,ka-ti,,,,,,,,,
kachiyoto,tizioyoto,ka-ti,,,,,,,,,
kanema,kanema,li-ma,,,,,,,,,
khonje,khonje,li-ma,,,,,,,,,
khwapa,khwapa,i-zi,,,,,,,,,
kumbwambwayila,kumbwambwayila,ku+tsinde la mneni,,,,,,,,,
kubzinya,kubzinya,ku+tsinde la mneni,,,,,,,,,
kufa,kufa,ku+tsinde la mneni,,,,,,,,,
kuda,kuda,ku+tsinde la mneni,,,,,,,,,
kugwetsa,kugwetsa,ku+tsinde la mneni,,,,,,,,,
kuiwala,kuiwala,ku+tsinde la mneni,,,,,,,,,
kuliritsa,kuliritsa,ku+tsinde la mneni,,,,,,,,,
kuodza,kulodza,ku+tsinde la mneni,,,,,,,,,
kupewa,kupewa,ku+tsinde la mneni,,,,,,,,,
chiluzu,ziluzu,chi-zi,,,,,,,,,
chiyao,chiyao,chi-zi,,,,,,,,,
chiwemba,ziwemba,chii-zi,,,,,,,,,
chisutu,zisutu,chi-zi,,,,,,,,,
chisena,zisena,chi-zi,,,,,,,,,
chiperekezo,chiperekezo,chi-zi,,,,,,,,,
chipulu ,zipulu ,chi-zi,,,,,,,,,
chifu,zifu,chi-zi,,,,,,,,,
chindoko,zindoko,chi-zi,,,,,,,,,
chiganizo,ziganizo,chi-zi,,,,,,,,,
chikuda,zikuda,chi-zi,,,,,,,,,
chakudya,zakudya,chi-zi,,,,,,,,,
chamuyaya,zamuyaya,chi-zi,,,,,,,,,
chidude,zidude,chi-zi,,,,,,,,,
mlangizi,alangizi,mu-a,,,,,,,,,
mchimwene,achimwene,mu-a,,,,,,,,,
mkaidi,akaidi,mu-a,,,,,,,,,
mdzakali,adzakali,mu-a,,,,,,,,,
mfaritsi,afaritsi,mu-a,,,,,,,,,
mfedwa,afedwa,mu-a,,,,,,,,,
mfumukazi,afumukazi,mu-a,,,,,,,,,
mfunthi,afunthi,mu-a,,,,,,,,,
mkafula,akafula,mu-a,,,,,,,,,
mdzakazi,adzakadzi,mu-a,,,,,,,,,
mlauli,alauli,mu-a,,,,,,,,,
mlela,alela,mu-a,,,,,,,,,
alumali,maluli,u-ma,,,,,,,,,
 mluya,aluya,mu-a,,,,,,,,,
mphulitsi,aphulitsi,mu-a,,,,,,,,,
msakazi,asakazi,mu-a,,,,,,,,,
msema,asema,mu-a,,,,,,,,,
msilamu,asilamu,mu-a,,,,,,,,,
msintho,asintho,mu-a,,,,,,,,,
msodzi,asodzi,mu-a,,,,,,,,,
msunga,asunga,mu-a,,,,,,,,,
msungi,asungi,mu-a,,,,,,,,,
mtantha,atantha,mu-a,,,,,,,,,
mtengambali,atengambali,mu-a,,,,,,,,,
mtengwa,atengwa,mu-a,,,,,,,,,
mtsamunda,atsamunda,mu-a,,,,,,,,,
mtumiki,atumiki,mu-a,,,,,,,,,
mtumwi,atumwi,mu-a,,,,,,,,,
myuda,ayuda,mu-a,,,,,,,,,
mzondi,azondi,mu-a,,,,,,,,,
bajeti,mabajeti,u,,,,,,,,,
baji,mabaji,u-ma,,,,,,,,,
balamani,mabalamani,u-ma,,,,,,,,,
balidi,mabalidi,u-ma,,,,,,,,,
bande,mawande,u-ma,,,,,,,,,
bampu,mabampu,li-ma,,,,,,,,,
bandeji,mabandeji,li-ma,,,,,,,,,
banga,mawanga,u-ma,,,,,,,,,
banki,mabanki,li-ma,,,,,,,,,
bano,mawano,li-ma,,,,,,,,,
banzi,mabanzi,li-ma,,,,,,,,,
batcha,mabatcha,u-ma,,,,,,,,,
bathwa,abathwa,mu-a,,,,,,,,,
baulo,mabaulo,li-ma,,,,,,,,,
benenga,mabenenga,u-ma,,,,,,,,,
benga,mabenga,u-ma,,,,,,,,,
bingu,mabingu,li-ma,,,,,,,,,
bira,abira,mu-a,,,,,,,,,
biringanya,mabiringanya,li-ma,,,,,,,,,
biritsi,abiritsi,mu-a,,,,,,,,,
bisiketi,mabisiketi,u-ma,,,,,,,,,
biyawu,mabiyawu,li-ma,,,,,,,,,
bokosi,mabokosi,li-ma,,,,,,,,,
boko,aboko,mu-a,,,,,,,,,
bolera,maborela,u-ma,,,,,,,,,
bolomwa,mabolomwa,u-ma,,,,,,,,,
bolosi,mabolosi,u-ma,,,,,,,,,
bomba,mabomba,li-ma,,,,,,,,,
bomu,mabomu,li-ma,,,,,,,,,
bonzo,mabonzo,li-ma,,,,,,,,,
bovu,mabovu,li-ma,,,,,,,,,
bowo,mabowo,li-ma,,,,,,,,,
bubu,abubu,mu-a,,,,,,,,,
bulako,mabulako,u-ma,,,,,,,,,
buleki,mabuleki,li-ma,,,,,,,,,
buloko,mabuloko,li-ma,,,,,,,,,
buluku,mabuluku,li-ma,,,,,,,,,
bulauzi,mabulauzi,li-ma,,,,,,,,,
bumma,mauma,u-ma,,,,,,,,,
bulumwa,mabulumwa,li-ma,,,,,,,,,
bumba,mabumba,u-ma,,,,,,,,,
bundukutu,abundukutu,mu-a,,,,,,,,,
bunjizi,mabunjizi,u-ma,,,,,,,,,
bwambi,mabwambi,u-ma,,,,,,,,,
chabodza,zabodza,chi-zi,,,,,,,,,
chakhumi,zakuhumi,chi-zi,,,,,,,,,
chachikunja,zachikunja,chi-zi,,,,,,,,,
chakuda,zakuda,chi-zi,,,,,,,,,
chakumwa,zakumwa,chi-zi,,,,,,,,,
chakumwezi,zakumwazi,chi-zi,,,,,,,,,
chamakono,zamakono,chi-zi,,,,,,,,,
chachikazi,zazikazi,chi-zi,,,,,,,,,
chachimuna,zazimuna,chi-zi,,,,,,,,,
chamasamba,zamasamba,chi-zi,,,,,,,,,
chandowe,zandowe,chi-zi,,,,,,,,,
zankhongo,chankhongo,chi-zi,,,,,,,,,
chibiya,zibiya,chi-zi,,,,,,,,,
chibisalieani,zibisalirani,chi-zi,,,,,,,,,
chibo,zibo,chi-zi,,,,,,,,,
chiboda,ziboda,chi-zi,,,,,,,,,
chiboliboli,ziboliboli,chi-zi,,,,,,,,,
chibombwezi,zibombwezi,chi-zi,,,,,,,,,
chibonga,zibonga,chi-zi,,,,,,,,,
chibwano,zibwano,chi-zi,,,,,,,,,
chibulo,zibulo,chi-zi,,,,,,,,,
chiboyi,ziboyi,chi-zi,,,,,,,,,
chivomelezi,zivomelezi,chi-zi,,,,,,,,,
chibwibwi,zibwibwi,chi-zi,,,,,,,,,
chifuyo,zifuyo,chi-zi,,,,,,,,,
chichira,zichira,chi-zi,,,,,,,,,
chida,zida,chi-zi,,,,,,,,,
chidebe,zidebe,chi-zi,,,,,,,,,
chidendene,zidendeni,chi-zi,,,,,,,,,
chidera,zidera,chi-zi,,,,,,,,,
chidikhodikho,zidikhidikhi,chi-zi,,,,,,,,,
chidodo,zidodo,chi-zi,,,,,,,,,
chidombe,zidombe,chi-zi,,,,,,,,,
chidosa,zidosa,chi-zi,,,,,,,,,
chidonje,zidonje,chi-zi,,,,,,,,,
chiduli,ziduli,chi-zi,,,,,,,,,
chidzete,zidzete,chi-zi,,,,,,,,,
chidzokomiro,zidzokomiro,chi-zi,,,,,,,,,
chidzolo,zidzolo,chi-zi,,,,,,,,,
chidzudzulo,zidzudzulo,chi-zi,,,,,,,,,
chifanifani ,zifanifani,chi-zi,,,,,,,,,
chifanizo,zifanizo,chi-zi,,,,,,,,,
chifufu,zifufu,chi-zi,,,,,,,,,
chifuniro,zifuniro,chi-zi,,,,,,,,,
chifundo,zifundo,chi-zi,,,,,,,,,
chifundudwa,zifundudwa,chi-zi,,,,,,,,,
chifunga,zifunga,chi-zi,,,,,,,,,
chifungo,zifungo,chi-zi,,,,,,,,,
chifupa,zifupa,chi-zi,,,,,,,,,
chigamba,zigamba,chi-zi,,,,,,,,,
chifuzi,zifuzi,chi-zi,,,,,,,,,
chigayo,zigayo,chi-zi,,,,,,,,,
chigama,zigama,chi-zi,,,,,,,,,
chigamulo,zigamulo,chi-zi,,,,,,,,,
chigalamwa,zigalamwa,chi-zi,,,,,,,,,
chigandanga,zigandanga,chi-zi,,,,,,,,,
chigandwa,zigandwa,chi-zi,,,,,,,,,
chigando,zigando,chi-zi,,,,,,,,,
chigawo,zigawo,chi-zi,,,,,,,,,
chigoba,zigoba,chi-zi,,,,,,,,,
chigodi,zigodi,chi-zi,,,,,,,,,
chigoli,zigoli,chi-zi,,,,,,,,,
chitsononkho,zitsononkho,chi-zi,,,,,,,,,
chiguduli,ziguduli,chi-zi,,,,,,,,,
chigonjetso,zigonjetso,chi-zi,,,,,,,,,
chikaikiro,zikaikiro,chi-zi,,,,,,,,,
chikang'a,zikang'a,chi-zi,,,,,,,,,
chikanu,zikanu,chizi,,,,,,,,,
chilango,zilango,chi-zi,,,,,,,,,
chikwangani,zikwangwani,chi-zi,,,,,,,,,
chikuti,zikuti,chi-zi,,,,,,,,,
chilakolako,zilakolako,chi-zi,,,,,,,,,
chiliro,ziliro,chi-zi,,,,,,,,,
chiliza,ziliza,chi-zi,,,,,,,,,
chilombo,zilombo,chu-zi,,,,,,,,,
chilonda,zilonda,chi-zi,,,,,,,,,
chilorezo,zilolezo,chi-zi,,,,,,,,,
chilumba,zilumba,chi-zi,,,,,,,,,
chimangirizo,zimangirizo,chi-zi,,,,,,,,,
chimango,zimango,chi-zi,,,,,,,,,
chimasuko,zimasuko,chi-zi,,,,,,,,,
chimasuliro,zimasuliro,ch-zi,,,,,,,,,
chimbalala,zimbalala,chi-zi,,,,,,,,,
chimbale,zimbale,chi-zi,,,,,,,,,
chimbuwari,zimbuwari,chi-zi,,,,,,,,,
chimbowa,zimbowa,chi-zi,,,,,,,,,
chimeme,zimeme,chi-zi,,,,,,,,,
chimkokota,zimkokota,chi-zi,,,,,,,,,
chimphakasa,zimphakasa,chi-zi,,,,,,,,,
chimvano,zimvano,chi-zi,,,,,,,,,
chimphonde,zimphonde,chi-zi,,,,,,,,,
chimphanga,zimphanga,chi-zi,,,,,,,,,
chimphona,zimphona,chi-zi,,,,,,,,,
chimphusi,zimphusi,chi-zi,,,,,,,,,
chimpse,zimpse,chi-zi,,,,,,,,,
chimwala,zimiyala,chi-zi,,,,,,,,,
luzi,aluzi,mu-a,,,,,,,,,
malonje,malonje,li-ma,,,,,,,,,
loto,maloto,li-ma,,,,,,,,,
phesi,mapesi,li-ma,,,,,,,,,
 mbawa,mibawa,mu-mi,,,,,,,,,
mbawala ,ambawala,mu-a,,,,,,,,,
mbilima,mibilima,mu-mi,,,,,,,,,
mbuye,ambuye,mu-a,,,,,,,,,
mchada,michada,mu-mi,,,,,,,,,
mchamulo,michamulo,mu-mi,,,,,,,,,
mchape,michape,mu-mi,,,,,,,,,
mcheni,micheni,mu-mi,,,,,,,,,
mchena,michena,mu-mi,,,,,,,,,
mchenje,michenje,mu-mi,,,,,,,,,
mchetho,michetho,mu-mi,,,,,,,,,
mcheu,micheu,mu-mi,,,,,,,,,
mchezula,michezula,mu-mi,,,,,,,,,
mchika,michika,mu-mi,,,,,,,,,
mchilichizo,michilichizo,mu-mi,,,,,,,,,
mchimba,michimba,mu-mi,,,,,,,,,
mchintchi,michintchi,mu-mi,,,,,,,,,
mchezo,michezo,mu-mi,,,,,,,,,
mchiro,michiro,mu-mi,,,,,,,,,
mchiriki,mitchiriki,mu-mi,,,,,,,,,
mchiritso,machilitso,li-ma,,,,,,,,,
mchiritsi,achiritsi,mu-a,,,,,,,,,
mchisu,michisu,mu-mi,,,,,,,,,
mchiwu,michiwu,mu-mi,,,,,,,,,
mchodzi,michodzi,mu-mi,,,,,,,,,
mcholo,micholo,mu-mi,,,,,,,,,
mchoma,michoma,mu-mi,,,,,,,,,
mchonngwe,michongwe,mu-mi,,,,,,,,,
mfeni,mifeni,mu-mi,,,,,,,,,
mfusiro,mifusiro,mu-mi,,,,,,,,,
mfatsankhunda,mifatsankhunda,mu-mi,,,,,,,,,
mfodo,mifodo,mu-mi,,,,,,,,,
mfolo,mifolo,mu-mi,,,,,,,,,
mfuleni,mifuleni,mu-mi,,,,,,,,,
mfula,mifula,mu-mi,,,,,,,,,
mfunda,mifunda,mu-mi,,,,,,,,,
mfupo,mifupo,mu-mi,,,,,,,,,
mfuwu,mifuwu,mu-mi,,,,,,,,,
mgagada,migagada,mu-mi,,,,,,,,,
mfyoli,mifyoli,mu-mi,,,,,,,,,
mgalagada,migalagada,mu-mi,,,,,,,,,
mganda,miganda,mu-mi,,,,,,,,,
mgaulo,migaulo,mu-mi,,,,,,,,,
mgawano,migawano,mu-mi,,,,,,,,,
mgodya,mingodya,mu-mi,,,,,,,,,
mgodabo,migodabo,mu-mi,,,,,,,,,
mngola,mingola,mu-mi,,,,,,,,,
mgolo,migolo,mu-mi,,,,,,,,,
mgomo,migomo,mu-mi,,,,,,,,,
mgonda,migonda,mu-mi,,,,,,,,,
mgonero,migonero,mu-mi,,,,,,,,,
mgwirizano,migwirizano,mu-mi,,,,,,,,,
mgongwa,migongwa,mu-mi,,,,,,,,,
munga,minga,mu-mi,,,,,,,,,
mkacha,mikacha,mu-mi,,,,,,,,,
mkangali,mikangali,mu-mi,,,,,,,,,
mkapa,mikapa,mu-mi,,,,,,,,,
mkate,mikate,mu-mi,,,,,,,,,
mkangano,mikangano,mu-mi,,,,,,,,,
nkute,mikute,mu-mi,,,,,,,,,
mkhanjo,mikhanjo,mu-mi,,,,,,,,,
mkhuwo,mikuwo,mu-mi,,,,,,,,,
mkhuto,mikhuto,mu-mi,,,,,,,,,
mkhate,mikate,mu-mi,,,,,,,,,
mkoko,mikoko,mu-mi,,,,,,,,,
mkoka,mikoka,mu-mi,,,,,,,,,
mkokomo,mikokomo,mu-mi,,,,,,,,,
mkokota,mikokota,mu-mi,,,,,,,,,
mkalimbo,mikalimbo,mu-mi,,,,,,,,,
mkolombidzo,mikolombodzo,mu-mi,,,,,,,,,
mkolongonjo,mikolongonjo,mu-mi,,,,,,,,,
mkolimbo,mikolimbo,mu-mi,,,,,,,,,
mkonje,mikonje,mu-mi,,,,,,,,,
mkuka,mikuka,mu-mi,,,,,,,,,
mkulo,mikulo,mu-mi,,,,,,,,,
mkumbi,mikumbi,mu-mi,,,,,,,,,
mkuna,mikuna,mu-mi,,,,,,,,,
mkunda,mikunda,mu-mi,,,,,,,,,
mkunga,mikunga,mu-mi,,,,,,,,,
mkungubwi,mikungubwi,mu-mi,,,,,,,,,
mkupizo,mikupizo,mu-mi,,,,,,,,,
mlakanjovu,milakanjovu,mu-mi,,,,,,,,,
mlambala,milambala,mu-mi,,,,,,,,,
mleme,mileme,mu-mi,,,,,,,,,
mlili,milili,mu-mi,,,,,,,,,
mlowo,milowo,mu-mi,,,,,,,,,
mludza,miludza,mu-mi,,,,,,,,,
mngoli,mingoli,mu-mi,,,,,,,,,
mngole,mingole,mu-mi,,,,,,,,,
chizimba,zizimba,chi-zi,,,,,,,,,
themba,matemba,li-ma,,,,,,,,,
phewa,mapewa,li-ma,,,,,,,,,
dalo,madalo,li-ma,,,,,,,,,
ubale,maubale,u-ma,,,,,,,,,
ubongo,maubongo,u-ma,,,,,,,,,
ubani,maubani,u-ma,,,,,,,,,
ubwenzi,maubwenzi,u-ma,,,,,,,,,
ubwino,maubwino,u-ma,,,,,,,,,
ubweya,maubweya,u-ma,,,,,,,,,
uchemberi,mauchemberi,u-ma,,,,,,,,,
ufulu,maufulu,u-ma,,,,,,,,,
ufumu,maufumu,u-ma,,,,,,,,,
uka,mauka,u-ma,,,,,,,,,
ukonde,maukonde,u-ma,,,,,,,,,
ukwati,maukwati,u-ma,,,,,,,,,
ulamuliro,maulamuliro,u-ma,,,,,,,,,
ulemu,maulemu,u-ma,,,,,,,,,
uluka,mauluka,u-ma,,,,,,,,,
ulusi,maulusi,u-ma,,,,,,,,,
umboni,maumboni,u-ma,,,,,,,,,
una,mauna,u-ma,,,,,,,,,
unda,maunda,u-ma,,,,,,,,,
unyawi,maunyawi,u-ma,,,,,,,,,
upalu,maupalu,u-ma,,,,,,,,,
upandu,maupandu,u-ma,,,,,,,,,
upangiri,maupangir,u-ma,,,,,,,,,
uphungu,mauphungu,u-ma,,,,,,,,,
utoto,mautoto,u-ma,,,,,,,,,
utso,mautso,u-ma,,,,,,,,,
uwiyo,mauwiyo,u-ma,,,,,,,,,
utumwi,mautumwi,u-ma,,,,,,,,,
valo,mavalo,li-ma,,,,,,,,,
soko,masoko,li-ma,,,,,,,,,
phombe,mapombe,li-ma,,,,,,,,,
phona,mapona,li-ma,,,,,,,,,
phokoso,mapokoso,li-ma,,,,,,,,,
phiriwa,mapiriwa,li-ma,,,,,,,,,]
phonyolo,maponyolo,li-ma,,,,,,,,,
phinde,mphinde,li-ma,,,,,,,,,
mvekero,mivekero,mu-mi,,,,,,,,,
mviru,miviru,mu-mi,,,,,,,,,
mvumo,mivumo,mu-mi,,,,,,,,,
muyeso,miyeso,mu-mi,,,,,,,,,
muula,miula,mu-mi,,,,,,,,,
mvano,mivano,mu-mi,,,,,,,,,
muvi,mivu,mu-mi,,,,,,,,,
mthethe,mithethe,mu-mi,,,,,,,,,
mtembo,mitembo,mu-mi,,,,,,,,,
mtengero,mitengero,mu-mi,,,,,,,,,
mtebera,mitebera,mu-mi,,,,,,,,,
mteme,miteme,mu-mi,,,,,,,,,
mtemwende,mitemwende,mu-mi,,,,,,,,,
mtetete,mitetete,mu-mi,,,,,,,,,
mthangati,athangati,mu-a,,,,,,,,,
mtengankhuni,mitengankhuni,mu-mi,,,,,,,,,
mthandizi,athandizi,mu-a,,,,,,,,,
mthanga,athangati,mu-a,,,,,,,,,
mthiko,mithiko,mu-mi,,,,,,,,,
mtambe,mitambe,mu-mi,,,,,,,,,
mtapo,mitapo,mu-mi,,,,,,,,,
mtanthauziramawu,mtanthauziramawu,mu-mi,,,,,,,,,
mtandasha,mitandasha,mu-mi,,,,,,,,,
mtandiro,mitandiro,mu-mi,,,,,,,,,
mtawa,mitawa,mu-mi,,,,,,,,,
mtazi,mitazi,mu-mi,,,,,,,,,
msusu,misusu,mu-mi,,,,,,,,,
msuweni,asuweni,mu-a,,,,,,,,,
msumati,misumati,mu-mi,,,,,,,,,
msululu,misululu,mu-mi,,,,,,,,,
msoti,misoti,mu-mi,,,,,,,,,
mswachi,miswachi,mu-mi,,,,,,,,,
msopa,misopa,mu-mi,,,,,,,,,
msumbi,misumbi,mu-mi,,,,,,,,,
msulizo,misulizo,mu-mi,,,,,,,,,
msolo,misolo,mu-mi,,,,,,,,,
msupi,misupi,mu-mi,,,,,,,,,
mpita,mipita,mu-mi,,,,,,,,,
mpini,mipini,mu-mi,,,,,,,,,
mpopi,mipopi,mu-mi,,,,,,,,,
mphusi,mphuzi,i-zi,,,,,,,,,
mphoyo,miphoyo,mu-mi,,,,,,,,,
mpenu,mipenu,mu-mi,,,,,,,,,
luso,maluso,li-ma,,,,,,,,,
luntha,luntha,i-zi,,,,,,,,,
lonjezo,mlonjezo,li-ma,,,,,,,,,
liphondo,maliphondo,li-ma,,,,,,,,,
likulu,malikulu,li-ma,,,,,,,,,
lambi,malambi,li-ma,,,,,,,,,
lamba,malamba,li-ma,,,,,,,,,
kusiyana,kusiyana,ku+tsinde la mneni,,,,,,,,,
kusokosa,kusokosa,ku+tsinde la mneni,,,,,,,,,
kusowa,kusowa,ku+tsinde la mneni,,,,,,,,,
kuona,kuona,ku+tsinde la mneni,,,,,,,,,
kusamva,kusamva,ku+tsinde la mneni,,,,,,,,,
kumaso,pamaso\mmaso,ku-pa-mu,,,,,,,,,
kumbali,pambalilmmbali,ku-pa-mu,,,,,,,,,
khombe,makombe,li-ma,,,,,,,,,
khate,makate,li-ma,,,,,,,,,
khamu,makamu,li-ma,,,,,,,,,
khalidwe,makhalidwe,li-ma,,,,,,,,,
kadzira,timazira,ka-ti,,,,,,,,,
kanjinga,tinjinga,ka-ti,,,,,,,,,
kukamwa,pakamwa\mkamwa,ku-pa-mu,,,,,,,,,
kamzimu,timizimu,ka-ti,,,,,,,,,
kampeni,timipeni,ka-ti,,,,,,,,,
kamfuti,timifuti,ka-ti,,,,,,,,,
kambewu,timbewu,ka-ti,,,,,,,,,
kambalame,timbalame,ka-ti,,,,,,,,,
fuwa,mafuwa,li-ma,,,,,,,,,
fanizo,mafanizo,li-ma,,,,,,,,,
dandaulo,madandaulo,li-ma,,,,,,,,,
kamwala,timiyala,ka-ti,,,,,,,,,
kamulungu,timilungu,ka-ti,,,,,,,,,
katsinje,timitsinje,ka-ti,,,,,,,,,
kanjole,tinjole,ka-ti,,,,,,,,,
kankhani,tinkhani,ka-ti,,,,,,,,,
kachidutswa,tizidutswa,ka-ti,,,,,,,,,
kabuku,timabuku,ka-ti,,,,,,,,,
katudza,timatudza,ka-ti,,,,,,,,,
kadzino,timano,ka-ti,,,,,,,,,
kaulusi,timaulusi,ka-ti,,,,,,,,,
